"t.depth","t.mm"
97.453,0.74186
97.477,1.2364
97.481,1.731
97.492,1.731
97.502,1.731
97.501,0.74186
97.508,0.49458
97.514,2.7202
97.519,2.4729
97.522,1.9783
97.527,1.731
97.532,1.4837
97.538,4.6985
97.544,0.98915
97.55,2.2256
97.557,1.2364
97.558,0.74186
97.573,0.74186
97.58,4.2039
97.582,0.74186
97.59,2.7202
97.605,6.9241
97.611,2.4729
97.618,1.9783
97.621,0.74186
97.639,1.2364
97.642,0.49458
97.644,0.49458
97.645,0.74186
97.699,0.49458
97.71,1.731
97.713,0.49458
97.727,0.74186
97.738,0.74186
97.745,0.49458
97.751,0.74186
97.761,1.4837
97.771,0.98915
97.775,0.74186
97.779,0.98915
97.791,1.2364
97.795,1.731
97.798,0.74186
97.802,0.24729
97.814,0.74186
97.818,0.24729
97.854,0.98915
97.859,0.74186
97.868,1.9783
97.881,2.2256
97.886,0.98915
97.905,4.4512
97.91,0.49458
97.919,1.731
97.923,0.49458
97.943,0.74186
97.959,1.9783
97.992,5.6876
97.993,3.2147
98.001,4.9458
98.006,0.49458
98.013,1.2364
98.028,1.731
98.034,0.74186
98.046,0.98915
98.063,2.4729
98.069,3.9566
98.078,1.4837
98.085,0.98915
98.11,1.2364
98.112,0.24729
98.117,0.98915
98.122,0.74186
98.141,0.74186
98.18,0.74186
98.209,1.731
98.209,0.74186
98.214,1.4837
98.23,0.74186
98.241,1.4837
98.254,0.24729
98.276,0.24729
98.288,0.49458
98.306,0.74186
98.381,0.69241
98.395,0.69241
98.409,0.69241
98.416,0.69241
98.437,0.69241
98.442,1.0386
98.462,0.3462
98.476,0.3462
98.494,0.69241
98.5,2.0772
98.524,1.3848
98.53,2.0772
98.599,1.9533
98.615,2.4195
98.626,1.613
98.636,1.0753
98.682,1.0753
99.258,0.53767
99.522,1.0245
99.528,0.76838
99.553,0.51225
99.033,0.80439
99.22,0.80439
99.31,0.53626
99.343,0.80439
99.413,1.0725
99.414,0.53626
99.417,1.0725
99.483,0.26813
99.505,0.80439
99.706,1.0725
99.714,1.6088
99.719,0.53626
99.734,0.53626
99.753,1.3406
99.771,0.26813
99.78,0.53626
99.782,0.53626
99.794,0.80439
99.805,0.80439
99.821,0.53626
99.886,1.8769
99.916,1.0725
100.01,0.80439
100.021,1.0725
100.051,1.6088
100.05,0.80439
100.071,1.0725
100.1,0.53626
100.11,0.53626
100.11,0.80439
100.14,0.53626
100.21,0.53626
100.241,1.0725
100.29,0.75076
100.391,1.1261
100.531,2.402
100.541,2.6689
102.951,1.5104
103.011,1.5104
103.21,0.70486
103.531,1.6751
103.551,1.3959
104.361,1.3959
104.391,1.1167
104.971,1.3421
105.11,0.53684
105.291,1.0737
105.711,1.6105
105.711,1.879
105.831,1.0737
106.852,4.0064
107.391,1.3355
107.611,2.2436
107.61,0.74787
107.621,1.1218
107.681,1.4957
107.691,1.1218
107.83,0.8024
107.84,0.8024
107.85,0.8024
107.861,1.6048
107.891,2.9421
107.911,1.3373
107.92,0.53493
107.941,1.0699
107.971,1.3373
108.002,4.2794
108.011,1.0699
108.021,1.3373
108.03,0.8024
108.041,2.1397
108.051,1.6048
108.051,1.3373
108.071,1.0699
108.081,2.4072
108.09,0.26747
108.131,2.6747
108.161,1.3373
108.16,0.8024
108.181,1.3373
108.191,1.3373
108.301,2.9421
108.31,0.8024
108.351,1.8723
108.371,1.6048
108.381,2.4072
108.391,1.8723
108.871,1.13
108.9,0.84749
109.17,0.56499
109.2,0.84749
109.28,0.2825
109.42,0.56499
109.43,0.56499
109.442,3.6724
109.442,4.2374
109.461,1.9775
109.461,1.695
109.651,1.4125
109.671,1.4125
109.74,0.56499
109.821,1.1865
109.821,1.9775
109.992,3.0865
109.991,2.8059
110.01,0.56117
110.11,0.56117
110.13,0.84176
110.171,2.5253
110.181,1.1223
110.19,0.84176
110.22,0.84176
110.241,2.5253
110.251,1.1223
110.27,0.84176
111.611,1.13
111.621,1.9775
111.631,1.13
111.662,3.3899
111.761,1.9775
111.801,1.9775
111.811,2.825
111.832,4.8024
111.891,1.13
111.911,1.13
111.991,1.13
112.011,1.9775
112.022,4.2374
112.021,2.26
112.061,2.26
112.091,1.9775
112.12,0.84749
112.201,1.4125
112.211,2.5425
112.231,1.13
112.231,1.4125
112.331,1.4125
112.35,0.84749
112.451,1.4125
112.45,0.84749
112.461,2.26
112.491,1.4125
112.563,6.2149
112.63,0.84749
112.651,1.9775
112.671,1.13
112.7,0.79099
112.72,0.79099
112.761,1.9775
112.791,1.9775
112.835,10.283
112.843,5.5369
113.001,1.4096
113.09,0.56384
113.101,1.1277
113.28,0.56384
113.31,0.56384
113.831,1.9734
113.861,1.1277
113.871,1.1277
113.88,0.84576
114.581,1.2884
114.911,1.0307
114.92,0.77302
115.522,4.1228
115.541,1.8037
115.561,2.8344
115.581,2.3191
115.601,1.8037
115.841,2.5252
115.891,2.5864
115.911,1.5518
115.961,1.2932
115.981,1.5518
116.021,1.2932
116.05,0.77591
116.081,2.0691
116.171,1.8104
116.301,1.0345
116.411,2.845
116.471,1.8104
116.561,2.3277
116.581,1.5518
116.591,1.5518
116.601,2.845
116.621,1.8104
116.701,2.0691
116.731,1.5518
116.811,1.2932
116.961,2.0691
117.112,3.2588
117.53,0.51924
118.281,1.5577
118.371,1.0175
118.381,1.5263
118.131,1.5488
118.161,2.3232
119.423,5.7822
120.131,1.1234
120.231,1.4043
120.281,1.966
120.292,3.3703
120.324,7.0215
120.331,1.966
120.341,1.966
120.39,0.84258
120.412,3.0894
120.421,1.1234
120.472,3.932
120.541,2.2469
120.743,6.7406
120.752,3.5388
120.762,3.1456
120.773,5.5048
120.792,4.3252
120.861,1.966
120.972,3.1456
121.02,0.84118
121.421,2.2431
122.671,2.5095
122.671,2.7884
122.711,1.3942
122.721,1.9519
122.72,0.83652
122.751,1.9519
122.791,2.7884
122.803,5.2979
122.812,4.1826
122.813,5.2979
122.821,1.673
122.821,1.3942
122.831,1.3942
122.841,1.3942
122.841,2.7884
122.862,3.3461
122.881,1.3942
122.891,1.9519
122.901,1.3942
122.911,1.3942
122.911,1.673
124.941,1.6771
125.141,1.9566
125.83,0.8289
126.071,1.1052
126.143,6.0786
126.881,2.7518
126.931,2.2014
127.031,1.3759
127.921,1.4183
127.951,1.4183
127.951,1.1346
128.192,3.4038
128.211,1.4183
128.421,1.7019
128.44,0.85096
128.452,4.2548
128.471,1.9856
128.511,2.2692
128.591,1.4183
128.6,0.85096
128.641,1.1346
128.65,0.56731
128.641,1.1346
128.691,1.4183
128.7,0.56731
128.65,0.56731
128.69,0.85096
128.691,1.4183
128.7,0.56731
128.72,0.56731
128.731,1.1346
128.741,1.7019
128.822,3.1769
128.841,2.7798
128.934,7.5452
129.021,1.2921
129.061,1.5505
129.08,0.51683
129.301,1.2921
129.361,1.5505
129.381,1.5505
129.761,1.2921
129.841,1.5505
129.921,1.8089
130.991,2.839
131.06,0.25809
131.191,1.0324
131.831,2.5293
132.13,0.55966
132.761,1.3992
132.811,1.1193
133.021,2.5185
133.031,1.3992
133.061,1.9588
133.071,1.1193
133.101,1.3992
133.122,3.358
133.152,3.6378
133.181,1.679
133.762,3.0715
133.772,3.3507
133.851,1.1169
133.961,1.3961
134.161,1.9546
134.291,1.6754
134.411,1.9546
133.471,1.6622
133.48,0.27704
133.611,1.1081
133.761,1.6622
133.771,2.2163
133.83,0.83111
133.85,0.83111
133.93,0.83111
133.961,1.3852
134.161,2.4933
134.291,1.6622
134.412,3.6015
134.42,0.55407
134.49,0.83111
134.52,0.83111
135.101,2.5242
135.163,5.3289
135.211,1.9633
135.291,1.9633
136.721,2.2241
137.29,0.83404
137.331,1.2222
137.381,1.2222
137.401,1.9555
137.461,1.4666
137.541,1.697
137.581,2.5455
137.591,1.697
137.6,0.56566
137.611,1.4141
137.242,4.2142
137.271,1.6857
137.292,3.0904
137.301,1.9666
137.302,3.0904
137.321,1.6857
137.321,2.2476
137.331,2.5285
137.341,1.6857
137.351,2.5285
137.371,1.4047
137.402,3.9332
137.412,4.4951
137.421,2.8095
137.441,2.8095
137.551,1.9666
137.591,1.6857
137.602,3.3713
137.601,1.4047
137.621,2.5285
137.631,2.5285
137.641,2.5285
137.653,5.057
137.671,1.9666
137.731,2.2476
137.771,1.9666
138.43,0.78665
139.191,1.6739
139.201,2.2318
139.211,1.3949
139.321,1.6739
139.351,1.6739
139.361,2.5108
139.884,8.5926
140.874,7.028
141.161,2.755
141.362,4.7228
141.591,1.9547
143.621,1.4005
143.631,1.6806
143.851,1.6806
143.891,1.4005
143.961,1.6806
144.151,2.7449
144.161,1.5685
144.181,1.9607
144.19,0.78426
144.24,0.39213
144.25,0.39213
144.281,1.1764
144.28,0.78426
144.33,0.83721
144.33,0.83721
144.39,0.83721
144.401,1.6744
144.481,2.7907
144.501,1.3953
144.501,1.3953
144.511,1.3953
144.521,1.9535
144.571,1.1163
144.651,1.9535
144.662,3.907
144.661,2.2326
144.701,1.9535
144.712,3.0698
144.731,1.3953
144.732,4.4651
144.741,1.9535
144.772,3.0698
144.791,2.2326
144.801,1.3953
144.811,1.1163
144.831,1.9535
144.911,1.3953
144.92,0.27907
144.952,3.907
144.961,1.1163
145.141,2.2326
145.241,1.6744
145.28,0.83721
145.301,2.2326
145.492,3.907
145.503,6.9767
145.561,2.7349
145.603,5.4698
145.921,1.1619
146.683,6.1501
147.891,1.9569
147.99,0.835
149.82,0.50382
149.86,0.50382
150.08,0.50382
150.681,1.4107
150.751,2.116
150.861,1.4107
151.461,1.4486
151.492,3.1869
151.961,2.6074
151.971,1.7383
152.441,1.1652
152.461,1.1652
152.53,0.87387
152.53,0.87387
152.74,0.58258
154.121,1.7726
154.24,0.75969
154.971,1.5194
155.091,1.5194
155.1,0.75969
155.11,0.75969
155.141,1.0636
155.171,1.4181
155.191,1.0636
155.21,0.70905
155.381,1.4344
156.161,1.4344
156.171,2.2951
156.411,1.2564
156.5,0.50257
157.48,0.79693
157.49,0.79693
157.49,0.53129
157.951,1.8595
157.952,3.1877
157.961,2.6564
157.962,4.2503
157.971,2.6564
157.971,2.3908
157.981,2.6564
157.993,5.0472
157.991,1.5939
158.09,0.26564
158.09,0.79693
158.101,2.1251
158.161,1.0626
158.201,1.0626
158.211,2.6564
158.231,1.8595
158.271,1.8595
158.351,1.0626
158.361,1.3282
158.391,2.6564
158.411,1.5939
158.502,3.9846
158.631,1.8595
158.641,1.3282
158.651,1.5939
158.661,2.3908
158.703,5.5785
158.701,1.8595
158.712,3.4534
159.011,1.5819
159.011,1.5819
159.021,2.6365
159.032,3.1638
159.042,3.9548
159.072,3.6911
159.082,4.2185
159.092,3.1638
159.162,3.4275
159.172,3.4275
159.181,2.1092
159.182,3.4275
159.192,4.2185
159.202,3.6911
159.212,4.7458
159.221,2.1092
159.251,1.5819
159.261,2.6365
159.281,1.5819
159.302,3.6911
159.311,2.3729
159.321,2.1092
159.321,2.3729
159.372,3.4275
159.401,2.3729
159.413,6.855
159.42,0.79096
159.431,1.8456
159.431,1.5819
159.442,3.6911
159.451,1.8456
159.461,2.3729
159.46,0.79096
159.461,1.0546
159.482,3.9548
159.501,1.0546
159.512,3.4275
159.521,2.1092
159.521,2.6365
159.541,2.1092
159.561,2.1092
159.561,2.9002
159.591,1.5819
159.591,2.9002
159.603,5.2731
159.602,3.9548
159.601,1.5819
159.612,3.1638
159.622,3.4275
159.631,1.0546
159.63,0.52731
159.642,3.1638
159.651,2.9002
159.671,2.6365
159.671,1.3183
159.721,1.0546
159.732,4.7458
159.731,1.0546
159.741,2.9002
159.741,1.3183
159.74,0.79096
159.753,5.0094
159.752,3.1638
159.771,1.8456
159.772,4.2185
159.782,4.4821
159.813,5.8004
159.822,4.2185
159.832,3.1638
159.832,4.2185
159.852,3.1638
159.862,4.2185
159.871,2.6365
159.883,6.064
159.881,1.8456
159.891,2.1092
159.931,1.8456
159.951,2.3729
159.961,1.0546
159.961,2.9002
159.972,3.1638
159.971,1.5819
159.982,3.1638
159.991,1.5819
160.011,1.0546
160.021,2.1092
160.031,1.0546
160.042,3.1638
160.052,4.4821
160.063,6.064
160.08,0.52731
160.081,1.8456
160.091,1.5819
160.103,5.5367
160.102,4.2185
160.101,1.8456
160.111,2.1092
160.111,2.3729
160.122,3.4275
160.131,1.3183
160.142,3.4275
160.151,2.3729
160.151,1.8456
160.161,1.5819
160.181,1.5819
160.231,1.5731
160.231,1.5731
160.241,1.5731
160.261,1.5731
160.282,3.4085
160.302,3.4085
160.351,2.3597
160.361,2.6219
160.361,1.311
160.401,1.8353
160.411,1.5731
160.431,1.8353
160.431,1.311
160.44,0.78657
160.451,1.311
160.511,1.311
160.741,1.8353
160.741,1.0488
161.161,2.0309
161.491,1.4507
161.701,1.1605
162.421,1.3249
162.44,0.79497
162.54,0.79497
162.601,1.8549
162.651,1.5899
162.661,1.5899
162.681,2.1199
162.73,0.79497
162.741,2.3849
162.751,1.5899
162.77,0.79497
162.85,0.52998
162.871,1.06
163.001,1.3249
163.011,1.3249
163.031,1.5899
163.041,1.06
163.05,0.26499
163.061,1.06
163.081,1.5899
163.101,1.06
163.101,1.06
163.111,1.06
163.121,1.5899
163.141,1.8549
163.151,1.3249
163.17,0.79497
163.19,0.79497
163.19,0.79497
163.191,1.3249
163.23,0.26499
163.26,0.79497
163.271,1.5899
163.29,0.79497
163.301,1.3249
163.32,0.79497
163.34,0.79497
163.371,1.5899
163.38,0.52998
163.401,1.8549
164.091,1.3098
164.471,1.5717
164.64,0.78587
165.351,1.579
165.621,2.1054
165.701,1.3159
166.221,1.579
166.241,2.6317
166.25,0.52634
166.251,1.0527
166.271,2.1054
166.311,1.579
166.33,0.78952
166.34,0.52634
166.351,1.579
166.371,1.0527
166.371,1.8422
166.381,1.8422
166.391,1.3159
166.391,1.0527
166.411,2.6317
166.422,3.4212
166.461,2.2106
166.481,2.2106
166.491,2.2106
166.503,5.8951
166.52,0.36844
166.541,1.8422
166.541,1.8422
166.551,2.5791
166.571,1.8422
166.581,1.1053
166.621,1.8422
166.631,2.2106
166.651,2.2106
166.661,2.5791
166.671,2.5791
166.681,2.5791
166.681,1.1053
166.701,1.7515
166.711,1.7515
166.741,1.7515
166.751,1.4596
166.781,2.9192
166.851,2.0434
166.91,0.87576
166.921,2.3354
166.971,1.1677
167.032,3.2111
167.041,2.0434
169.191,1.8194
169.75,0.9097
169.761,1.2129
169.812,3.942
169.971,1.2129
169.981,1.5162
169.991,1.5162
170,0.60647
171.001,1.2143
171.021,2.7321
171.851,1.2169
172.08,0.91271
172.29,0.91271
172.54,0.60847
173.351,1.2136
173.49,0.91022
173.84,0.91022
174.141,1.2136
174.151,1.2136
174.171,1.2136
175.681,1.5144
175.74,0.90863
175.811,1.2115
175.881,1.2115
175.9,0.60575
176,0.84805
176.211,1.1056
176.24,0.5528
176.25,0.8292
176.261,2.2112
176.271,2.2112
176.32,0.8292
176.331,2.2112
176.351,1.6584
176.371,1.1056
176.38,0.5528
176.41,0.8292
176.421,2.4876
177.131,1.6584
177.17,0.8292
177.2,0.5528
177.231,2.4876
177.251,1.1056
177.261,1.1056
177.281,1.1056
177.292,3.3168
177.311,2.764
177.33,0.8292
177.341,1.1056
177.362,4.146
177.36,0.8292
177.431,2.3218
177.851,1.0993
178.501,2.1985
178.502,3.8474
178.521,1.9237
178.901,2.6932
